condicion,actor_id,turno,tipologia,n_palabras_chunks,n_palabras_respuesta,conflict_vocab_density_response,conflict_vocab_count,conflict_vocab_words_response,rag_transfer_limpio,rag_transfer_lexical,rag_transfer_eufemismos,rag_transfer_expresiones,top_k_similarity,scores_por_chunk,role_purity,n_docs_total,n_docs_rol,usado_fallback,lexical_diversity
rag_only,victima,12,confrontativa,93,195,0.0821,18,armado|armados|denuncia|familia|gente|grupos|matan|miedo|paz|rio|tema|temor|territorio|verdad|vereda|violencia|vivir|zona,0.3019,0.55,0.0,0.2,0.8378,"[0.856, 0.8459, 0.8299, 0.8286, 0.8286]",1.0,5.0,5.0,False,0.5806
rag_only,victima,13,abierta,166,203,0.0443,6,muerto|muertos|paso|rio|verdad|vivido,0.1758,0.2203,0.0,0.2,0.8253,"[0.8373, 0.8291, 0.8276, 0.8164, 0.8163]",1.0,5.0,5.0,False,0.5482
rag_only,victimario,1,abierta,102,193,0.0415,11,arma|armada|comunidad|conflicto|familia|grupo|mando|momento|proceso|unidad|violencia,0.3559,0.2941,0.0,0.1429,0.8239,"[0.8297, 0.8287, 0.8236, 0.8203, 0.8171]",1.0,5.0,5.0,False,0.6078
rag_only,victimario,2,abierta,112,210,0.0286,9,arma|armada|comunidad|grupo|momento|organizacion|proceso|reclutamiento|unidad,0.2381,0.3684,0.0,0.0,0.8332,"[0.8452, 0.8387, 0.8382, 0.8234, 0.8203]",1.0,5.0,5.0,False,0.6161
rag_only,victimario,3,cerrada,95,163,0.0429,10,entrenamiento|familia|grupo|militar|militares|momento|operacion|operaciones|proceso|unidad,0.2931,0.3,0.25,0.3333,0.8333,"[0.8414, 0.8388, 0.8296, 0.829, 0.8279]",1.0,5.0,5.0,False,0.6737
rag_only,victimario,4,abierta,149,214,0.0327,11,comandante|comandantes|combate|entrenamiento|familia|grupo|militar|momento|operacion|operaciones|unidad,0.2889,0.2353,0.25,0.6,0.8464,"[0.8537, 0.8495, 0.8446, 0.8431, 0.841]",1.0,5.0,5.0,False,0.6107
rag_only,victimario,5,abierta,106,201,0.0547,15,arma|armas|civil|combate|combatiente|combatientes|comunidad|conflicto|enemigo|familia|grupo|momento|toma|unidad|zona,0.2154,0.1481,0.0,0.0,0.8033,"[0.8037, 0.8029]",1.0,2.0,2.0,False,0.6604
rag_only,victimario,6,abierta,113,234,0.0385,9,civil|comandante|comunidad|conflicto|enemigo|grupo|guerra|momento|unidad,0.2727,0.2,0.2857,0.2,0.8488,"[0.8573, 0.8508, 0.8445, 0.8426]",1.0,4.0,4.0,False,0.5929
rag_only,victimario,7,confrontativa,124,195,0.0308,6,combate|enemigo|entrenamiento|grupo|mando|momento,0.2208,0.2564,0.0,0.0,0.8387,"[0.8457, 0.8426, 0.8397, 0.8349, 0.8304]",1.0,5.0,5.0,False,0.6371
rag_only,victimario,8,abierta,120,213,0.0469,12,civil|comunidad|conflicto|desplazados|familia|guerra|militar|militares|momento|paz|toma|unidad,0.3571,0.1071,0.3333,0.25,0.829,"[0.8374, 0.8206]",1.0,2.0,2.0,False,0.5917
rag_only,victimario,9,confrontativa,138,162,0.0247,7,comunidad|guerra|militar|militares|proceso|unidad|violencia,0.2558,0.1429,0.2,0.5,0.8262,"[0.8371, 0.8284, 0.8244, 0.8219, 0.8191]",1.0,5.0,5.0,False,0.6232
rag_only,victimario,10,abierta,97,194,0.0567,13,civil|conflicto|gente|grupo|guerra|hostigamiento|milicias|momento|operacion|operaciones|paz|proceso|violencia,0.3051,0.3,0.0,0.0,0.8311,"[0.8348, 0.8345, 0.8315, 0.8273, 0.8272]",1.0,5.0,5.0,False,0.6289
rag_only,victimario,11,confrontativa,97,219,0.0183,5,comunidad|conflicto|momento|tropa|unidad,0.2154,0.1176,0.4,0.4,0.7839,"[0.7939, 0.7791, 0.7787]",1.0,3.0,3.0,False,0.7216
rag_only,victimario,12,abierta,106,242,0.0372,7,civil|comunidad|desplazamiento|farc|fuerza|proceso|unidad,0.3226,0.3077,0.25,0.1429,0.8302,"[0.8388, 0.8388, 0.8332, 0.8204, 0.8197]",1.0,5.0,5.0,False,0.6132
rag_only,victimario,13,abierta,92,184,0.0217,5,comunidad|farc|momento|paz|unidad,0.3333,0.4286,0.25,0.4286,0.8076,"[0.8127, 0.8081, 0.8051, 0.8047]",1.0,4.0,4.0,False,0.6196
